"Tabela 7268 - Pessoas de 14 anos ou mais de idade por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;"2017";;;"2018";;;"2019";;;"2022";;;"2023"
"Unidade da Federação";"Nível de instrução";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda"
"Bahia";"Superior completo";"803";"254";"543";"857";"287";"566";"907";"285";"615";"1015";"289";"713";"1104";"270";"819";"1145";"340";"796"
"Minas Gerais";"Total";"16709";"6876";"9791";"16752";"6585";"10122";"16941";"6690";"10192";"17059";"6707";"10313";"17315";"7025";"10230";"17459";"7058";"10332"
"Minas Gerais";"Sem instrução e fundamental incompleto ou equivalente";"6564";"2230";"4319";"6504";"2218";"4274";"6415";"2157";"4231";"6366";"2146";"4206";"5991";"2070";"3907";"5762";"2060";"3686"
"Minas Gerais";"Fundamental completo e médio incompleto ou equivalente";"3087";"1097";"1983";"3134";"1087";"2037";"3061";"1055";"1999";"3050";"1034";"2012";"2976";"1090";"1870";"2994";"1076";"1903"
"Minas Gerais";"Médio completo ou equivalente e superior incompleto";"5094";"2312";"2772";"5242";"2166";"3063";"5338";"2169";"3151";"5463";"2265";"3183";"5822";"2369";"3428";"6089";"2393";"3668"
"Minas Gerais";"Superior completo";"1963";"1237";"716";"1872";"1114";"748";"2126";"1309";"811";"2180";"1261";"912";"2526";"1496";"1024";"2614";"1530";"1075"
"Espírito Santo";"Total";"3083";"1244";"1826";"3119";"1214";"1888";"3130";"1189";"1918";"3137";"1116";"1992";"3269";"1180";"2066";"3284";"1222";"2044"
"Espírito Santo";"Sem instrução e fundamental incompleto ou equivalente";"1141";"418";"719";"1124";"398";"723";"1119";"386";"724";"1104";"352";"744";"1051";"344";"698";"1043";"352";"687"
"Espírito Santo";"Fundamental completo e médio incompleto ou equivalente";"556";"198";"355";"562";"178";"379";"560";"174";"382";"546";"150";"388";"573";"182";"387";"543";"173";"367"
"Espírito Santo";"Médio completo ou equivalente e superior incompleto";"1016";"402";"610";"1025";"399";"620";"1057";"406";"644";"1063";"380";"673";"1148";"389";"750";"1156";"403";"746"
"Espírito Santo";"Superior completo";"370";"227";"141";"407";"239";"167";"394";"224";"168";"424";"233";"187";"497";"265";"230";"541";"294";"244"
"Rio de Janeiro";"Total";"13982";"6376";"7566";"14238";"6119";"8063";"14251";"6416";"7756";"14307";"6453";"7774";"14536";"6646";"7767";"14488";"6629";"7721"
"Rio de Janeiro";"Sem instrução e fundamental incompleto ou equivalente";"4124";"1441";"2670";"4089";"1368";"2706";"3838";"1371";"2447";"3643";"1302";"2323";"3284";"1184";"2066";"3182";"1132";"2021"
"Rio de Janeiro";"Fundamental completo e médio incompleto ou equivalente";"2677";"1048";"1625";"2657";"925";"1722";"2484";"934";"1541";"2482";"944";"1525";"2426";"901";"1506";"2268";"832";"1411"
"Rio de Janeiro";"Médio completo ou equivalente e superior incompleto";"5123";"2389";"2721";"5352";"2344";"2991";"5533";"2496";"3005";"5621";"2484";"3105";"5856";"2588";"3225";"5963";"2597";"3309"
"Rio de Janeiro";"Superior completo";"2058";"1498";"549";"2139";"1483";"643";"2396";"1615";"764";"2562";"1724";"821";"2970";"1973";"970";"3076";"2067";"981"
"São Paulo";"Total";"36248";"22871";"12725";"36352";"22228";"13505";"36498";"21270";"14495";"36940";"21396";"14855";"37766";"21943";"15080";"38041";"21834";"15475"
"São Paulo";"Sem instrução e fundamental incompleto ou equivalente";"9690";"5299";"4283";"9325";"4989";"4219";"9411";"4703";"4570";"9130";"4603";"4423";"8562";"4370";"4048";"8675";"4340";"4238"
"São Paulo";"Fundamental completo e médio incompleto ou equivalente";"6657";"3719";"2867";"6547";"3610";"2878";"6343";"3217";"3031";"6190";"3149";"2947";"6026";"3099";"2849";"6126";"3123";"2929"
