Granularidade Geográfica;Categoria;Filtro;Estado;UF;Localidade;Ano;Valor;Tipo Valor;Indicador
Distrito Federal;Localidade;Total;Distrito Federal;DF;Estado;2019;1159,5;;10.4
Espírito Santo;Localidade;Total;Espírito Santo;ES;Estado;2019;266,5;;10.4
Goiás;Localidade;Total;Goiás;GO;Estado;2019;790,5;;10.4
Maranhão;Localidade;Total;Maranhão;MA;Estado;2019;477,8;;10.4
Mato Grosso;Localidade;Total;Mato Grosso;MG;Estado;2019;1199,5;;10.4
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;Estado;2019;1219,1;;10.4
Minas Gerais;Localidade;Total;Minas Gerais;MT;Estado;2019;874,5;;10.4
Pará;Localidade;Total;Pará;PA;Estado;2019;465,1;;10.4
Paraíba;Localidade;Total;Paraíba;PB;Estado;2019;45,9;;10.4
Paraná;Localidade;Total;Paraná;PE;Estado;2019;1010;;10.4
Pernambuco;Localidade;Total;Pernambuco;PI;Estado;2019;340,3;;10.4
Piauí;Localidade;Total;Piauí;PR;Estado;2019;581,4;;10.4
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;Estado;2019;427,5;;10.4
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;Estado;2019;227,5;;10.4
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RO;Estado;2019;1176,2;;10.4
Rondônia;Localidade;Total;Rondônia;RR;Estado;2019;1247,4;;10.4
Roraima;Localidade;Total;Roraima;RS;Estado;2019;905,2;;10.4
Santa Catarina;Localidade;Total;Santa Catarina;SC;Estado;2019;1689,1;;10.4
São Paulo;Localidade;Total;São Paulo;SE;Estado;2019;276,8;;10.4
Sergipe;Localidade;Total;Sergipe;SP;Estado;2019;280,7;;10.4
Tocantins;Localidade;Total;Tocantins;TO;Estado;2019;787;;10.4
Brasil;Localidade;Total;;;País;2019;610,6;;10.4
Acre;Localidade;Total;Acre;AC;Estado;2018;;;10.4
Alagoas;Localidade;Total;Alagoas;AL;Estado;2018;240,4;;10.4
Amapá;Localidade;Total;Amapá;AM;Estado;2018;89,5;;10.4
Amazonas;Localidade;Total;Amazonas;AP;Estado;2018;;;10.4
Bahia;Localidade;Total;Bahia;BA;Estado;2018;527,6;;10.4
Ceará;Localidade;Total;Ceará;CE;Estado;2018;202,2;;10.4
Distrito Federal;Localidade;Total;Distrito Federal;DF;Estado;2018;;;10.4
Espírito Santo;Localidade;Total;Espírito Santo;ES;Estado;2018;639,5;;10.4
Goiás;Localidade;Total;Goiás;GO;Estado;2018;740,1;;10.4
Maranhão;Localidade;Total;Maranhão;MA;Estado;2018;436,9;;10.4
Mato Grosso;Localidade;Total;Mato Grosso;MG;Estado;2018;1222,3;;10.4
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;Estado;2018;1196,7;;10.4
Minas Gerais;Localidade;Total;Minas Gerais;MT;Estado;2018;798,5;;10.4
Pará;Localidade;Total;Pará;PA;Estado;2018;422,1;;10.4
Paraíba;Localidade;Total;Paraíba;PB;Estado;2018;;;10.4
Paraná;Localidade;Total;Paraná;PE;Estado;2018;846,3;;10.4
Pernambuco;Localidade;Total;Pernambuco;PI;Estado;2018;286,3;;10.4
Piauí;Localidade;Total;Piauí;PR;Estado;2018;;;10.4
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;Estado;2018;404;;10.4
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;Estado;2018;160,8;;10.4
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RO;Estado;2018;650,1;;10.4
Rondônia;Localidade;Total;Rondônia;RR;Estado;2018;;;10.4
Roraima;Localidade;Total;Roraima;RS;Estado;2018;842,2;;10.4
Santa Catarina;Localidade;Total;Santa Catarina;SC;Estado;2018;;;10.4
São Paulo;Localidade;Total;São Paulo;SE;Estado;2018;248,5;;10.4
Sergipe;Localidade;Total;Sergipe;SP;Estado;2018;;;10.4
Tocantins;Localidade;Total;Tocantins;TO;Estado;2018;214,5;;10.4
Brasil;Localidade;Total;;;País;2018;484,4;;10.4
