estado;instrucao;categoria_ano;populacao;ano;raca_cor
Rio de Janeiro;Total;branca_2017;6119.0;2017;branca
Rio de Janeiro;Total;preta_parda_2017;8063.0;2017;preta_parda
Rio de Janeiro;Total;total_2017;14238.0;2017;total
Rio de Janeiro;Total;branca_2018;6416.0;2018;branca
Rio de Janeiro;Total;preta_parda_2018;7756.0;2018;preta_parda
Rio de Janeiro;Total;total_2018;14251.0;2018;total
Rio de Janeiro;Total;branca_2019;6453.0;2019;branca
Rio de Janeiro;Total;preta_parda_2019;7774.0;2019;preta_parda
Rio de Janeiro;Total;total_2019;14307.0;2019;total
Rio de Janeiro;Total;branca_2022;6646.0;2022;branca
Rio de Janeiro;Total;preta_parda_2022;7767.0;2022;preta_parda
Rio de Janeiro;Total;total_2022;14536.0;2022;total
Rio de Janeiro;Total;branca_2023;6629.0;2023;branca
Rio de Janeiro;Total;preta_parda_2023;7721.0;2023;preta_parda
Rio de Janeiro;Total;total_2023;14488.0;2023;total
Rondônia;Total;branca_2016;368.0;2016;branca
Rondônia;Total;preta_parda_2016;875.0;2016;preta_parda
Rondônia;Total;total_2016;1257.0;2016;total
Rondônia;Total;branca_2017;375.0;2017;branca
Rondônia;Total;preta_parda_2017;901.0;2017;preta_parda
Rondônia;Total;total_2017;1285.0;2017;total
Rondônia;Total;branca_2018;371.0;2018;branca
Rondônia;Total;preta_parda_2018;923.0;2018;preta_parda
Rondônia;Total;total_2018;1310.0;2018;total
Rondônia;Total;branca_2019;370.0;2019;branca
Rondônia;Total;preta_parda_2019;941.0;2019;preta_parda
Rondônia;Total;total_2019;1325.0;2019;total
Rondônia;Total;branca_2022;400.0;2022;branca
Rondônia;Total;preta_parda_2022;959.0;2022;preta_parda
Rondônia;Total;total_2022;1372.0;2022;total
Rondônia;Total;branca_2023;420.0;2023;branca
Rondônia;Total;preta_parda_2023;963.0;2023;preta_parda
Rondônia;Total;total_2023;1399.0;2023;total
Roraima;Total;branca_2016;76.0;2016;branca
Roraima;Total;preta_parda_2016;256.0;2016;preta_parda
Roraima;Total;total_2016;350.0;2016;total
Roraima;Total;branca_2017;81.0;2017;branca
Roraima;Total;preta_parda_2017;267.0;2017;preta_parda
Roraima;Total;total_2017;367.0;2017;total
Roraima;Total;branca_2018;79.0;2018;branca
Roraima;Total;preta_parda_2018;277.0;2018;preta_parda
Roraima;Total;total_2018;385.0;2018;total
Roraima;Total;branca_2019;80.0;2019;branca
Roraima;Total;preta_parda_2019;287.0;2019;preta_parda
Roraima;Total;total_2019;393.0;2019;total
Roraima;Total;branca_2022;84.0;2022;branca
Roraima;Total;preta_parda_2022;340.0;2022;preta_parda
Roraima;Total;total_2022;441.0;2022;total
Roraima;Total;branca_2023;93.0;2023;branca
Roraima;Total;preta_parda_2023;331.0;2023;preta_parda
Roraima;Total;total_2023;446.0;2023;total
Santa Catarina;Total;branca_2016;4929.0;2016;branca
